epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22692.7,0.79276,1.05137,1.08604,0.76844,0.76958,0.84262,0.65912,0.84974,0.7508,0.96397,0.005842,0.005842,0.005842
44,23220.3,0.79384,1.0504,1.08643,0.77224,0.77004,0.84325,0.65984,0.84832,0.74845,0.96271,0.005743,0.005743,0.005743
45,23759.2,0.79275,1.04355,1.08538,0.77009,0.77384,0.8446,0.6603,0.84796,0.74654,0.96232,0.005644,0.005644,0.005644
46,24294.6,0.79009,1.04167,1.08647,0.77677,0.76776,0.84531,0.6614,0.8465,0.74312,0.96181,0.005545,0.005545,0.005545
47,24829.4,0.78854,1.03551,1.08488,0.78053,0.76527,0.84586,0.66205,0.84658,0.74018,0.9618,0.005446,0.005446,0.005446
48,25364.6,0.78697,1.03005,1.08212,0.78001,0.76727,0.84665,0.66305,0.84542,0.73794,0.9611,0.005347,0.005347,0.005347
49,25899.8,0.78497,1.02861,1.08313,0.78782,0.76613,0.84788,0.66368,0.84483,0.73522,0.96055,0.005248,0.005248,0.005248
50,26434.6,0.78448,1.02716,1.08422,0.78663,0.76925,0.84876,0.66467,0.84404,0.73376,0.95998,0.005149,0.005149,0.005149
51,26969.7,0.78352,1.02134,1.08227,0.78714,0.77257,0.84951,0.66609,0.84243,0.73176,0.95939,0.00505,0.00505,0.00505
52,27503.7,0.78286,1.0213,1.08153,0.78264,0.77351,0.84971,0.66663,0.84173,0.729,0.95928,0.004951,0.004951,0.004951
53,28037.5,0.78082,1.01643,1.08059,0.7757,0.78674,0.85074,0.66779,0.84091,0.72653,0.95853,0.004852,0.004852,0.004852
54,28571,0.77649,1.01296,1.0789,0.7758,0.78983,0.85137,0.66921,0.83971,0.72412,0.95773,0.004753,0.004753,0.004753
55,29106.1,0.77548,1.00894,1.07919,0.77921,0.78896,0.85297,0.66953,0.8388,0.72262,0.95706,0.004654,0.004654,0.004654
56,29640.3,0.77608,1.00775,1.08012,0.78349,0.78304,0.85334,0.66987,0.83775,0.72,0.95666,0.004555,0.004555,0.004555
57,30175,0.77489,1.00291,1.07709,0.78291,0.78721,0.85398,0.67156,0.83641,0.71773,0.95581,0.004456,0.004456,0.004456
58,30708.7,0.77018,0.99812,1.07643,0.7847,0.78893,0.85485,0.67228,0.83431,0.71546,0.95424,0.004357,0.004357,0.004357
